customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,avg_monthly_spend,spend_trend_ratio,service_count,streaming_count,has_protection_bundle,is_month_to_month,is_electronic_check,is_auto_payment,is_new_customer,family_account,tenure_bucket,charge_per_service,revenue_at_risk_annual
0691-JVSYA,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,94.34,1.005,5,2,0,0,0,1,0,1,4y+,18.97,1138.2
0691-NIKRI,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.95,4335.2,0,108.38,0.978,7,2,0,0,0,1,0,0,2-4y,15.14,1271.4
0696-UKTOX,Male,0,No,Yes,23,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,54.15,1312.45,0,57.06,0.949,4,0,0,1,1,0,0,1,1-2y,13.54,649.8
0697-ZMSWS,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.65,338.9,1,84.72,1.011,4,1,0,1,1,0,1,0,0-6m,21.41,1027.8
0699-NDKJM,Female,0,Yes,No,57,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),58.75,3437.45,0,60.31,0.974,6,2,0,1,0,1,0,1,4y+,9.79,705.0
0701-RFGFI,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.4,4613.95,0,94.16,1.013,5,2,0,1,0,1,0,1,4y+,19.08,1144.8
0701-TJSEF,Male,0,No,No,9,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.25,576.95,0,64.11,1.065,6,1,1,1,0,1,0,0,7-12m,11.38,819.0
0702-PGIBZ,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.7,364.55,1,91.14,1.116,6,2,0,1,1,0,1,1,0-6m,16.95,1220.4
0704-VCUMB,Female,0,Yes,No,61,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.25,1278.8,0,20.96,0.966,1,0,0,0,0,1,0,1,4y+,20.25,243.0
0707-HOVVN,Female,1,No,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),75.5,5212.65,0,74.47,1.014,7,1,0,0,0,1,0,0,4y+,10.79,906.0
0708-LGSMF,Male,0,Yes,No,13,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,65.85,902.25,0,69.4,0.949,5,1,0,1,1,0,0,1,1-2y,13.17,790.2
0708-SJDIS,Female,0,No,No,34,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,65.0,2157.5,0,63.46,1.024,5,1,0,1,0,0,0,0,2-4y,13.0,780.0
0709-TVGUR,Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.55,622.9,1,69.21,1.077,3,0,0,1,1,0,0,0,7-12m,24.85,894.6
0716-BQNDX,Male,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,93.75,5625.55,0,98.69,0.95,6,1,1,0,1,0,0,0,4y+,15.63,1125.0
0719-SYFRB,Female,0,No,No,12,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,61.65,713.75,1,59.48,1.036,6,0,1,1,0,0,0,0,7-12m,10.28,739.8
0722-SVSFK,Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,715.0,0,102.14,0.983,6,2,0,1,1,0,0,0,7-12m,16.73,1204.8
0722-TROQR,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,321.75,1,80.44,0.931,3,0,0,1,1,0,1,0,0-6m,24.97,898.8
0723-DRCLG,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,1,74.45,1.0,3,0,0,1,1,0,1,1,0-6m,24.82,893.4
0723-FDLAY,Male,0,No,No,44,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),85.25,3704.15,0,84.19,1.013,8,2,0,0,0,1,0,0,2-4y,10.66,1023.0
0723-VSOBE,Female,1,No,No,45,No,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,34.2,1596.6,0,35.48,0.964,2,1,0,0,1,0,0,0,2-4y,17.1,410.4
0725-CXOTM,Female,0,No,No,36,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),89.65,3348.1,0,93.0,0.964,8,2,1,0,0,1,0,0,2-4y,11.21,1075.8
0727-BMPLR,Female,1,No,No,55,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.0,5509.3,1,100.17,0.998,6,2,0,0,1,0,0,0,4y+,16.67,1200.0
0727-BNRLG,Male,0,No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),97.65,6743.55,0,97.73,0.999,7,1,0,0,0,1,0,0,4y+,13.95,1171.8
0727-IWKVK,Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.9,741.7,1,82.41,0.97,4,0,0,1,1,0,0,1,7-12m,19.98,958.8
0730-BGQGF,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.3,6287.3,0,88.55,1.02,9,2,1,0,0,1,0,1,4y+,10.03,1083.6
0730-KOAVE,Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,0,89.32,1.056,6,1,0,1,0,1,0,0,2-4y,15.72,1131.6
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65,0,20.97,0.973,1,0,0,0,1,0,0,1,4y+,20.4,244.8
0732-OCQOC,Female,0,Yes,Yes,52,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.05,1270.25,0,24.43,1.025,2,0,0,0,0,1,0,1,4y+,12.53,300.6
0733-VUNUW,Male,0,No,No,24,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.65,1400.55,1,58.36,0.954,4,0,0,1,0,1,0,0,1-2y,13.91,667.8
0734-OXWBT,Male,0,No,Yes,3,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,70.7,225.65,0,75.22,0.94,5,2,0,1,0,0,1,1,0-6m,14.14,848.4
0739-UUAJR,Female,0,Yes,Yes,72,No,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),53.8,3952.45,0,54.9,0.98,5,2,0,0,0,1,0,1,4y+,10.76,645.6
0742-LAFQK,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,99.15,7422.1,0,103.08,0.962,7,1,0,0,1,0,0,1,4y+,14.16,1189.8
0742-MOABM,Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,44.84,1.116,3,0,0,1,0,0,1,1,0-6m,16.68,600.6
0742-NXBGR,Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.3,82.3,1,82.3,1.0,4,0,0,1,1,0,1,0,0-6m,20.57,987.6
0743-HNPFG,Female,0,Yes,Yes,51,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),69.75,3562.5,0,69.85,0.999,6,1,1,0,0,1,0,1,4y+,11.63,837.0
0743-HRVFF,Female,0,Yes,Yes,51,No,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,56.15,2898.95,0,56.84,0.988,5,2,0,0,1,0,0,1,4y+,11.23,673.8
0744-BIKKF,Male,0,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),86.65,6224.8,0,86.46,1.002,9,2,1,0,0,1,0,0,4y+,9.63,1039.8
0744-GKNGE,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),86.8,5327.25,0,83.24,1.043,5,0,1,1,0,1,0,1,4y+,17.36,1041.6
0746-JTRFU,Male,0,No,No,2,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.05,56.35,1,28.18,0.889,1,0,0,1,1,0,1,0,0-6m,25.05,300.6
0748-RDGGM,Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.5,7534.65,1,107.64,1.017,8,2,1,0,0,1,0,1,4y+,13.69,1314.0
0749-IRGQE,Female,1,Yes,No,13,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,45.3,528.45,0,40.65,1.114,3,2,0,1,1,0,0,1,1-2y,15.1,543.6
0750-EBAIU,Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,91.25,4738.3,0,91.12,1.001,5,1,0,0,1,0,0,0,4y+,18.25,1095.0
0750-EKNGL,Male,0,No,No,7,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.75,141.1,0,20.16,1.029,1,0,0,1,0,0,0,0,7-12m,20.75,249.0
0754-EEBDC,Male,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.9,76.65,0,19.16,1.038,1,0,0,0,0,0,1,1,0-6m,19.9,238.8
0754-UKWQP,Male,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.85,197.7,1,98.85,0.97,5,2,0,1,1,0,1,0,0-6m,19.17,1150.2
0756-MPZRL,Male,0,No,No,46,No,No,DSL,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),33.7,1537.85,0,33.43,1.008,3,0,0,0,0,1,0,0,2-4y,11.23,404.4
0757-WCUUZ,Male,0,Yes,Yes,54,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),63.35,3409.1,0,63.13,1.003,5,1,0,0,0,1,0,1,4y+,12.67,760.2
0761-AETCS,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.3,19.3,1,19.3,1.0,1,0,0,1,1,0,1,0,0-6m,19.3,231.6
0769-MURVM,Female,0,Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),65.7,4575.35,0,63.55,1.034,7,2,1,0,0,1,0,1,4y+,9.39,788.4
0771-CHWSK,Male,0,No,No,66,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),74.6,4798.4,0,72.7,1.026,7,1,0,0,0,1,0,0,4y+,10.66,895.2
0771-WLCLA,Female,0,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,112.95,1882.55,0,117.66,0.96,8,2,1,1,1,0,0,1,1-2y,14.12,1355.4
0772-GYEQQ,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.35,262.05,1,87.35,1.011,5,1,0,1,0,0,1,0,0-6m,17.67,1060.2
0774-IFUVM,Male,0,Yes,Yes,11,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.15,723.35,0,65.76,0.991,5,1,0,1,0,1,0,1,7-12m,13.03,781.8
0774-RMNUW,Female,0,Yes,Yes,71,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),59.7,4122.65,0,58.07,1.028,6,2,1,0,0,1,0,1,4y+,9.95,716.4
0778-NELLA,Male,0,No,No,9,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),34.7,296.1,1,32.9,1.055,2,1,0,1,0,1,0,0,7-12m,17.35,416.4
0780-XNZFN,Male,0,No,No,57,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1125.6,0,19.75,1.046,1,0,0,0,0,1,0,0,4y+,20.65,247.8
0781-LKXBR,Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,1,102.07,0.985,6,2,0,1,1,0,0,0,7-12m,16.75,1206.0
0784-GTUUK,Male,0,Yes,No,62,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),23.75,1446.8,0,23.34,1.018,2,0,0,0,0,1,0,1,4y+,11.88,285.0
0784-ZQJZX,Male,0,No,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.9,1529.65,0,21.25,0.937,1,0,0,0,0,1,0,1,4y+,19.9,238.8
0786-IVLAW,Female,1,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),108.1,7238.6,0,109.68,0.986,7,2,0,0,0,1,0,0,4y+,15.44,1297.2
0786-VSSUD,Male,1,No,No,16,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,39.0,679.85,1,42.49,0.918,3,1,0,1,0,0,0,0,1-2y,13.0,468.0
0787-LHDYT,Male,0,No,No,16,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),20.6,330.25,0,20.64,0.998,1,0,0,1,0,1,0,0,1-2y,20.6,247.2
0788-DXBFY,Male,0,Yes,Yes,58,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,19.55,1108.8,0,19.12,1.023,1,0,0,0,1,0,0,1,4y+,19.55,234.6
0793-TWELN,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.15,319.85,0,79.96,1.002,4,0,0,1,1,0,1,0,0-6m,20.04,961.8
0794-YVSGE,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.3,1401.15,0,19.46,1.043,1,0,0,0,0,1,0,1,4y+,20.3,243.6
0795-GMVQO,Male,0,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),109.9,7332.4,0,109.44,1.004,8,2,0,0,0,1,0,1,4y+,13.74,1318.8
0795-LAFGP,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,90.4,6668.05,0,93.92,0.963,9,2,1,0,1,0,0,1,4y+,10.04,1084.8
0795-XCCTE,Male,1,No,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.4,1809.35,0,25.13,1.011,2,0,0,0,0,1,0,0,4y+,12.7,304.8
0799-DDIHE,Female,0,Yes,Yes,15,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.3,639.45,0,42.63,1.086,2,0,0,1,1,0,0,1,1-2y,23.15,555.6
0804-XBFBV,Female,0,No,Yes,11,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.2,321.05,0,29.19,0.863,1,0,0,1,1,0,0,1,7-12m,25.2,302.4
0804-YGEQV,Female,0,Yes,Yes,43,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),24.45,993.15,0,23.1,1.059,2,0,0,0,0,1,0,1,2-4y,12.22,293.4
0807-ZABDG,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,55.1,154.65,1,51.55,1.069,4,0,1,1,0,0,1,1,0-6m,13.78,661.2
0810-BDHAW,Female,0,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,78.4,1832.4,0,76.35,1.027,7,2,0,0,1,0,0,1,1-2y,11.2,940.8
0810-DHDBD,Female,0,No,No,52,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),74.0,3877.65,0,74.57,0.992,7,1,1,0,0,1,0,0,4y+,10.57,888.0
0811-GSDTP,Female,0,No,Yes,13,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.15,382.2,0,29.4,1.026,2,0,0,1,1,0,0,1,1-2y,15.07,361.8
0812-WUPTB,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.85,70.85,1,70.85,1.0,2,0,0,1,0,0,1,1,0-6m,35.42,850.2
0813-TAXXS,Male,0,No,No,55,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),77.8,4323.35,0,78.61,0.99,6,2,0,0,0,1,0,0,4y+,12.97,933.6
0815-MFZGM,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99.0,4135.0,0,98.45,1.006,6,2,0,0,0,1,0,1,2-4y,16.5,1188.0
0816-TSPHQ,Male,0,No,No,2,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.75,44.2,0,22.1,0.939,1,0,0,1,0,0,1,0,0-6m,20.75,249.0
0817-HSUSE,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.5,75.5,0,75.5,1.0,6,2,0,1,1,0,1,0,0-6m,12.58,906.0
0818-OCPZO,Male,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.45,2122.05,1,78.59,1.036,4,0,0,1,1,0,0,0,2-4y,20.36,977.4
0820-FNRNX,Male,0,Yes,Yes,17,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,66.7,1077.05,0,63.36,1.053,6,0,0,1,0,0,0,1,1-2y,11.12,800.4
0822-GAVAP,Female,0,No,No,2,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,34.7,62.25,1,31.13,1.115,2,1,0,1,1,0,1,0,0-6m,17.35,416.4
0822-QGCXA,Female,1,Yes,No,27,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,83.85,2310.2,0,85.56,0.98,8,2,0,1,1,0,0,1,2-4y,10.48,1006.2
0823-HSCDJ,Male,1,No,No,52,No,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49.15,2550.9,1,49.06,1.002,4,2,0,1,1,0,0,0,4y+,12.29,589.8
0824-VWDPO,Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),96.75,4442.75,0,98.73,0.98,6,1,0,0,0,1,0,0,2-4y,16.13,1161.0
0825-CPPQH,Female,0,Yes,No,71,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.1,1372.45,0,19.33,0.988,1,0,0,0,0,1,0,1,4y+,19.1,229.2
0827-ITJPH,Male,0,No,No,36,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),18.55,689.0,0,19.14,0.969,1,0,0,0,0,1,0,0,2-4y,18.55,222.6
0829-DDVLK,Female,0,No,No,15,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),20.1,302.45,0,20.16,0.997,1,0,0,0,0,1,0,0,1-2y,20.1,241.2
0829-XXPLX,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.4,1871.15,0,93.56,0.956,5,1,0,1,0,1,0,0,1-2y,17.88,1072.8
0831-JNISG,Male,0,Yes,Yes,71,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.8,1396.25,0,19.67,1.007,1,0,0,0,0,0,0,1,4y+,19.8,237.6
0835-DUUIQ,Female,0,No,Yes,24,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),21.05,531.55,0,22.15,0.95,1,0,0,0,0,1,0,1,1-2y,21.05,252.6
0835-JKADZ,Female,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,111.25,7984.15,0,112.45,0.989,8,2,0,0,1,0,0,0,4y+,13.91,1335.0
0836-SEYLU,Male,0,Yes,No,9,No,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,40.65,328.95,1,36.55,1.112,3,1,0,1,0,0,0,1,7-12m,13.55,487.8
0839-JTCUD,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.9,5958.85,0,90.29,0.996,9,2,1,0,0,1,0,1,4y+,9.99,1078.8
0839-QNXME,Female,0,No,No,30,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,578.5,0,19.28,1.006,1,0,0,0,0,1,0,0,2-4y,19.4,232.8
0840-DCNZE,Male,0,No,No,47,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),86.95,4138.9,0,88.06,0.987,8,2,1,0,0,1,0,0,2-4y,10.87,1043.4
0840-DFEZH,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,564.65,0,80.66,0.934,3,0,0,1,1,0,0,0,7-12m,25.12,904.2
0841-NULXI,Male,0,No,No,1,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.55,35.55,1,35.55,1.0,2,1,0,1,1,0,1,0,0-6m,17.77,426.6
0842-IWYCP,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,0,47.15,0.953,2,0,0,1,0,1,0,0,2-4y,22.48,539.4
0843-WTBXE,Male,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),85.45,4517.25,1,85.23,1.003,4,1,0,1,0,1,0,0,4y+,21.36,1025.4
0847-HGRML,Male,0,No,Yes,62,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.0,1250.1,0,20.16,0.992,1,0,0,0,0,1,0,1,4y+,20.0,240.0
0848-SOMKO,Male,0,No,No,70,No,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),48.4,3442.8,0,49.18,0.984,5,1,1,0,0,1,0,0,4y+,9.68,580.8
0848-ZGQIJ,Female,0,Yes,No,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.65,1461.15,0,91.32,1.036,5,2,0,1,0,1,0,1,1-2y,18.93,1135.8
0851-DFJKB,Female,0,No,No,15,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,58.95,955.15,0,63.68,0.926,5,0,1,1,1,0,0,0,1-2y,11.79,707.4
0853-NWIFK,Female,0,No,No,45,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,100.3,4483.95,0,99.64,1.007,6,2,0,0,1,0,0,0,2-4y,16.72,1203.6
0853-TWRVK,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),105.6,7581.5,0,105.3,1.003,8,1,1,0,0,1,0,1,4y+,13.2,1267.2
0854-UYHZD,Female,0,Yes,Yes,13,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.55,265.3,0,20.41,0.958,1,0,0,0,0,0,0,1,1-2y,19.55,234.6
0856-NAOES,Male,0,No,No,6,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,60.9,414.1,0,69.02,0.882,4,1,0,1,0,0,1,0,0-6m,15.22,730.8
0859-YGKFW,Male,0,Yes,Yes,18,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.05,345.9,0,19.22,1.043,1,0,0,0,0,1,0,1,1-2y,20.05,240.6
0862-PRCBS,Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),103.75,7039.45,0,103.52,1.002,7,2,0,0,0,1,0,1,4y+,14.82,1245.0
0864-FVJNJ,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,113.35,7222.75,0,112.86,1.004,9,2,1,0,1,0,0,1,4y+,12.59,1360.2
0866-QLSIR,Female,0,No,No,34,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,64.4,2088.75,1,61.43,1.048,6,0,1,0,0,0,0,0,2-4y,10.73,772.8
0867-LDTTC,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.15,392.65,0,78.53,0.957,6,2,0,1,0,1,1,0,0-6m,12.53,901.8
0867-MKZVY,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1,79.62,1.035,4,0,0,1,1,0,0,1,1-2y,20.6,988.8
0868-VJRDR,Male,0,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.05,6605.55,0,103.21,1.008,7,2,1,0,0,1,0,1,4y+,14.86,1248.6
0869-PAPRP,Female,1,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.7,2067.0,0,79.5,1.078,4,1,0,1,0,1,0,1,2-4y,21.43,1028.4
0870-VEMYL,Female,0,No,No,5,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),53.85,259.8,1,51.96,1.036,4,0,1,1,0,1,1,0,0-6m,13.46,646.2
0871-OPBXW,Female,0,No,No,2,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.05,39.25,0,19.63,1.022,1,0,0,1,0,0,1,0,0-6m,20.05,240.6
0871-URUWO,Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.25,1359.0,1,104.54,0.978,6,2,0,1,0,1,0,1,1-2y,17.04,1227.0
0872-CASZJ,Male,0,Yes,No,59,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,69.1,4096.9,0,69.44,0.995,6,1,1,0,0,0,0,1,4y+,11.52,829.2
